word,meaning,spelling,kanji
男性,man,dansei,nam tính
女性,woman,josei,nữ tính
高齢,"old age, advanced age",kourei,cao linh
年上,elder,toshiue,niên thượng
目上,superior,meue,mục thượng
先輩,senior,senpai,tiền bối
後輩,junior,kouhai,hậu bối
上司,boss,joushi,thượng ti
相手,"other person, opponent",aite,tương thủ
知り合い,acquaintance,shiriai,tri hợp
友人,friend,juujin,hữu nhân
仲,relations,naka,trọng
生年月日,date of birth,seinengappi,sanh niên nguyệt nhật
誕生,birth,tanjou,đản sanh
年,"year, age",toshi,niên
出身,"origin, homeland",shusshin,xuất thân
故郷,hometown,kokyou,cố hương
成長,growth,seichou,thành trưởng
成人,adult,seijin,thành nhân
合格,"passing, acceptance",goukaku,hợp cách
進学,going to higher school,shingaku,tiến học
退学,"expulsion, dropping out",taigaku,thoái học
就職,"getting employed, finding employment",shuushoku,tựu chức
退職,"resignation, retirement",taishoku,thoái chức
失業,unemployment,shitsugyou,thất nghiệp
残業,overtime work,zangyou,tàn nghiệp
生活,life,seikatsu,sanh hoạt
通勤,commuting (to work),tsuukin,thông cần
学歴,educational background,gakureki,học lịch
給料,"salary, pay",kyuuryou,cấp liêu
面接,interview,mensetsu,diện tiếp
休憩,break,kyuukei,hưu khế
観光,"tourism, sightseeing",kankou,quan quang
帰国,returning to one's country,kikoku,quy quốc
帰省,returning to one's hometown,kisei,quy tỉnh
帰宅,going home,kitaku,quy trạch
参加,participation,sanka,tham gia
出席,attendance,shusseki,xuất tịch
欠席,absence,kesseki,khiếm tịch
遅刻,arriving late,chikoku,trì khắc
化粧,makeup,keshou,hóa trang
計算,calculation,keisan,kế toán
計画,plan,keikaku,kế họa
成功,success,seikou,thành công
失敗,failure,shippai,thất bại
準備,preparation,junbi,chuẩn bị
整理,"organizing, arrangement, disposal",seiri,chỉnh lí
注文,"order, request",chuumon,chú văn
貯金,"savings, depositing",chokin,trữ kim
徹夜,staying up all night,tetsuya,triệt dạ
引っ越し,move,hikkoshi,dẫn việt
身長,body height,shinchou,thân trường
体重,body weight,taijuu,thể trọng
けが,injury,kega,từ này thường dùng cách viết kana
会,party,kai,hội
趣味,"hobby, interest, taste",shumi,thú vị
興味,interest,kyoumi,hưng vị
思い出,memory,omoide,tư xuất
冗談,joke,joudan,nhũng đàm
目的,purpose,mokuteki,mục đích
約束,"promise, appointment",yakusoku,ước thúc
おしゃべり,"chatting, talkativeness",oshaberi,từ này thường dùng cách viết kana
遠慮,"reserve, refraining",enryo,viễn lự
我慢,"endurance, patience",gaman,ngã mạn
迷惑,nuisance,meiwaku,mê hoặc
希望,"hope, wish",kibou,hi vọng
夢,dream,yume,mộng
賛成,"agreement, support",sansei,tán thành
反対,"opposite, opposition",hantai,phản đối
想像,imagination,souzou,tưởng tượng
努力,effort,doryoku,nỗ lực
